#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1682368899,165489,4981340,140.30.20.1,3,180,4962524,4965568,0,0,152.148.48.4,140.30.20.10,0.0.0.0,334,334,40492,22,6,0,2,0,0,0,0
1682368899,165489,4981340,140.30.20.1,3,180,4962748,4965600,0,0,152.148.48.5,140.30.20.10,0.0.0.0,334,334,45774,22,6,0,2,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963000,4966284,0,0,140.30.20.8,152.148.48.6,140.30.20.2,334,334,22,44370,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963060,4966292,0,0,152.148.48.6,140.30.20.6,0.0.0.0,334,334,32870,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4962892,4966280,0,0,140.30.20.5,152.148.48.4,140.30.20.2,334,334,22,41690,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963068,4966324,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44246,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963044,4966336,0,0,152.148.48.5,140.30.20.7,0.0.0.0,334,334,56060,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963044,4966336,0,0,140.30.20.7,152.148.48.5,140.30.20.2,334,334,22,56060,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963060,4966292,0,0,140.30.20.6,152.148.48.6,140.30.20.2,334,334,22,32870,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963000,4966284,0,0,152.148.48.6,140.30.20.8,0.0.0.0,334,334,44384,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963040,4966280,0,0,152.148.48.6,140.30.20.6,0.0.0.0,334,334,32856,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963000,4966284,0,0,152.148.48.6,140.30.20.8,0.0.0.0,334,334,44370,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963040,4966280,0,0,140.30.20.6,152.148.48.6,140.30.20.2,334,334,22,32856,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963040,4966312,0,0,140.30.20.6,152.148.48.6,140.30.20.2,334,334,22,32846,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4962892,4966300,0,0,152.148.48.4,140.30.20.5,0.0.0.0,334,334,41660,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963068,4966328,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44232,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963000,4966284,0,0,140.30.20.8,152.148.48.6,140.30.20.2,334,334,22,44384,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963068,4966328,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44232,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963044,4966308,0,0,152.148.48.5,140.30.20.7,0.0.0.0,334,334,56054,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963048,4966296,0,0,152.148.48.5,140.30.20.7,0.0.0.0,334,334,56072,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4962892,4966292,0,0,140.30.20.5,152.148.48.4,140.30.20.2,334,334,22,41662,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4962892,4966292,0,0,152.148.48.4,140.30.20.5,0.0.0.0,334,334,41662,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963060,4966336,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44216,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4963048,4966296,0,0,140.30.20.7,152.148.48.5,140.30.20.2,334,334,22,56072,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4963040,4966312,0,0,152.148.48.6,140.30.20.6,0.0.0.0,334,334,32846,22,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,14,2289,4962996,4966280,0,0,140.30.20.8,152.148.48.6,140.30.20.2,334,334,22,44364,6,0,27,0,0,0,0
1682368899,165489,4981340,140.30.20.1,1,80,4966280,4966280,0,0,140.30.20.3,152.148.48.6,140.30.20.2,65535,334,0,1281,1,192,0,0,0,0,0
1682368899,165489,4981340,140.30.20.1,13,1570,4962892,4966280,0,0,152.148.48.4,140.30.20.5,0.0.0.0,334,334,41690,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1570,4962996,4966280,0,0,152.148.48.6,140.30.20.8,0.0.0.0,334,334,44364,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,14,2289,4962892,4966300,0,0,140.30.20.5,152.148.48.4,140.30.20.2,334,334,22,41660,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1570,4963060,4966336,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44216,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,14,2289,4963044,4966308,0,0,140.30.20.7,152.148.48.5,140.30.20.2,334,334,22,56054,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,14,2289,4963068,4966324,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44246,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1538,4968552,4968676,0,0,152.148.48.4,140.30.20.8,0.0.0.0,334,334,42762,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,12,2105,4968552,4968676,0,0,140.30.20.8,152.148.48.4,140.30.20.2,334,334,22,42762,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,3,264,4962672,4969036,0,0,140.30.20.3,140.30.20.7,0.0.0.0,65535,334,0,1281,1,192,0,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,2205,4968924,4969088,0,0,140.30.20.8,152.148.48.4,140.30.20.2,334,334,22,42770,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1570,4968924,4969088,0,0,152.148.48.4,140.30.20.8,0.0.0.0,334,334,42770,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,12,2105,4969036,4969144,0,0,140.30.20.7,152.148.48.4,140.30.20.2,334,334,22,53428,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1538,4969036,4969144,0,0,152.148.48.4,140.30.20.7,0.0.0.0,334,334,53428,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,12,1518,4969396,4969548,0,0,152.148.48.4,140.30.20.7,0.0.0.0,334,334,53434,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,2205,4969396,4969548,0,0,140.30.20.7,152.148.48.4,140.30.20.2,334,334,22,53434,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,12,2105,4969696,4969808,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44268,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1538,4969696,4969808,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44268,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1538,4969812,4969928,0,0,152.148.48.5,140.30.20.6,0.0.0.0,334,334,60706,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,12,2105,4969812,4969928,0,0,140.30.20.6,152.148.48.5,140.30.20.2,334,334,22,60706,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,2157,4969920,4970024,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49596,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,12,1486,4969920,4970024,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49596,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,2733,4970028,4970168,0,0,140.30.20.7,152.148.48.6,140.30.20.2,334,334,22,44270,6,0,26,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1558,4970028,4970168,0,0,152.148.48.6,140.30.20.7,0.0.0.0,334,334,44270,22,6,0,31,0,0,0,0
1682368903,328076,4985500,140.30.20.1,12,2105,4969980,4970096,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49602,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1538,4969980,4970096,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49602,22,6,0,27,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,2733,4970148,4970272,0,0,140.30.20.6,152.148.48.5,140.30.20.2,334,334,22,60734,6,0,26,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1558,4970148,4970272,0,0,152.148.48.5,140.30.20.6,0.0.0.0,334,334,60734,22,6,0,31,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,2733,4970244,4970384,0,0,140.30.20.5,152.148.48.6,140.30.20.2,334,334,22,49612,6,0,26,0,0,0,0
1682368903,328076,4985500,140.30.20.1,13,1558,4970244,4970384,0,0,152.148.48.6,140.30.20.5,0.0.0.0,334,334,49612,22,6,0,31,0,0,0,0
