#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1682370002,809540,6084984,140.30.20.1,12,1486,6057840,6057944,0,0,152.148.48.5,140.30.20.8,0.0.0.0,436,436,42460,22,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,12,2105,6057832,6057956,0,0,140.30.20.6,152.148.48.5,140.30.20.2,436,436,22,50948,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,12,2105,6057852,6057956,0,0,140.30.20.7,152.148.48.5,140.30.20.2,436,436,22,47252,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,13,1538,6057828,6057952,0,0,152.148.48.6,140.30.20.6,0.0.0.0,436,436,34692,22,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,12,2105,6057824,6057944,0,0,140.30.20.5,152.148.48.6,140.30.20.2,436,436,22,56674,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,13,1538,6057832,6057956,0,0,152.148.48.5,140.30.20.6,0.0.0.0,436,436,50948,22,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,12,2105,6057828,6057952,0,0,140.30.20.6,152.148.48.6,140.30.20.2,436,436,22,34692,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,13,1538,6057824,6057944,0,0,152.148.48.6,140.30.20.5,0.0.0.0,436,436,56674,22,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,13,2157,6057840,6057944,0,0,140.30.20.8,152.148.48.5,140.30.20.2,436,436,22,42460,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,13,1538,6057852,6057956,0,0,152.148.48.5,140.30.20.7,0.0.0.0,436,436,47252,22,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,12,2105,6057884,6057988,0,0,140.30.20.7,152.148.48.4,140.30.20.2,436,436,22,50304,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,13,1538,6057884,6057988,0,0,152.148.48.4,140.30.20.7,0.0.0.0,436,436,50304,22,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,3,264,6057824,6058164,0,0,140.30.20.3,140.30.20.5,0.0.0.0,65535,436,0,1281,1,192,0,0,0,0,0
1682370002,809540,6084984,140.30.20.1,2,176,6057840,6058172,0,0,140.30.20.3,140.30.20.8,0.0.0.0,65535,436,0,1281,1,192,0,0,0,0,0
1682370002,809540,6084984,140.30.20.1,2,176,6057852,6058208,0,0,140.30.20.3,140.30.20.7,0.0.0.0,65535,436,0,1281,1,192,0,0,0,0,0
1682370002,809540,6084984,140.30.20.1,2,176,6057828,6058184,0,0,140.30.20.3,140.30.20.6,0.0.0.0,65535,436,0,1281,1,192,0,0,0,0,0
1682370002,809540,6084984,140.30.20.1,3,180,6057816,6060864,0,0,152.148.48.4,140.30.20.10,0.0.0.0,436,436,33514,22,6,0,2,0,0,0,0
1682370002,809540,6084984,140.30.20.1,3,180,6057888,6060928,0,0,152.148.48.4,140.30.20.11,0.0.0.0,436,436,54906,22,6,0,2,0,0,0,0
1682370002,809540,6084984,140.30.20.1,12,2105,6062096,6062196,0,0,140.30.20.7,152.148.48.4,140.30.20.2,436,436,22,56164,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,13,1538,6062096,6062196,0,0,152.148.48.4,140.30.20.7,0.0.0.0,436,436,56164,22,6,0,27,0,0,0,0
1682370002,809540,6084984,140.30.20.1,3,164,6062416,6062416,0,0,140.30.20.7,152.148.48.4,140.30.20.2,436,436,22,56202,6,0,22,0,0,0,0
1682370002,809540,6084984,140.30.20.1,3,186,6062416,6062416,0,0,152.148.48.4,140.30.20.7,0.0.0.0,436,436,56202,22,6,0,26,0,0,0,0
1682370002,809540,6084984,140.30.20.1,3,180,6062148,6065184,0,0,152.148.48.4,140.30.20.11,0.0.0.0,436,436,60084,22,6,0,2,0,0,0,0
