#:unix_secs,unix_nsecs,sysuptime,exaddr,dpkts,doctets,first,last,engine_type,engine_id,srcaddr,dstaddr,nexthop,input,output,srcport,dstport,prot,tos,tcp_flags,src_mask,dst_mask,src_as,dst_as
1682369353,325993,5435500,140.30.20.1,13,1538,5407180,5408352,0,0,152.148.48.5,140.30.20.7,0.0.0.0,370,370,38776,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,13,1538,5407500,5408352,0,0,152.148.48.5,140.30.20.7,0.0.0.0,370,370,38788,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,14,1590,5407180,5408352,0,0,152.148.48.5,140.30.20.6,0.0.0.0,370,370,57462,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,12,2105,5407500,5408352,0,0,140.30.20.7,152.148.48.5,140.30.20.2,370,370,22,38788,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,12,2105,5407180,5408352,0,0,140.30.20.7,152.148.48.5,140.30.20.2,370,370,22,38776,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,13,2169,5406624,5408352,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,48270,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,14,1590,5407016,5408352,0,0,152.148.48.4,140.30.20.8,0.0.0.0,370,370,58068,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,14,1590,5406624,5408352,0,0,152.148.48.6,140.30.20.7,0.0.0.0,370,370,48270,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,12,2105,5407484,5408352,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,48318,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,13,1538,5407484,5408352,0,0,152.148.48.6,140.30.20.7,0.0.0.0,370,370,48318,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,13,2169,5407180,5408352,0,0,140.30.20.6,152.148.48.5,140.30.20.2,370,370,22,57462,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,13,2169,5407016,5408352,0,0,140.30.20.8,152.148.48.4,140.30.20.2,370,370,22,58068,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,4,352,5407180,5408536,0,0,140.30.20.3,140.30.20.6,0.0.0.0,65535,370,0,1281,1,192,0,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,180,5407228,5410080,0,0,152.148.48.6,140.30.20.11,0.0.0.0,370,370,49626,22,6,0,2,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,180,5407016,5410048,0,0,152.148.48.4,140.30.20.11,0.0.0.0,370,370,34650,22,6,0,2,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,180,5407052,5410080,0,0,152.148.48.4,140.30.20.10,0.0.0.0,370,370,52048,22,6,0,2,0,0,0,0
1682369353,325993,5435500,140.30.20.1,12,2105,5414844,5414952,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,41240,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,13,1538,5414844,5414952,0,0,152.148.48.6,140.30.20.7,0.0.0.0,370,370,41240,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,186,5415176,5415176,0,0,152.148.48.6,140.30.20.7,0.0.0.0,370,370,41260,22,6,0,26,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,164,5415176,5415176,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,41260,6,0,22,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,264,5406624,5415396,0,0,140.30.20.3,140.30.20.7,0.0.0.0,65535,370,0,1281,1,192,0,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,180,5414944,5417952,0,0,152.148.48.4,140.30.20.11,0.0.0.0,370,370,37830,22,6,0,2,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,180,5414888,5417924,0,0,152.148.48.4,140.30.20.11,0.0.0.0,370,370,37814,22,6,0,2,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,264,5407016,5419128,0,0,140.30.20.3,140.30.20.8,0.0.0.0,65535,370,0,1281,1,192,0,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,186,5419152,5419152,0,0,152.148.48.4,140.30.20.7,0.0.0.0,370,370,43046,22,6,0,26,0,0,0,0
1682369353,325993,5435500,140.30.20.1,3,164,5419152,5419152,0,0,140.30.20.7,152.148.48.4,140.30.20.2,370,370,22,43046,6,0,22,0,0,0,0
1682369353,325993,5435500,140.30.20.1,13,1538,5419128,5419236,0,0,152.148.48.4,140.30.20.8,0.0.0.0,370,370,50400,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,12,2105,5419128,5419236,0,0,140.30.20.8,152.148.48.4,140.30.20.2,370,370,22,50400,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,13,1538,5420332,5420440,0,0,152.148.48.4,140.30.20.8,0.0.0.0,370,370,50446,22,6,0,27,0,0,0,0
1682369353,325993,5435500,140.30.20.1,12,2105,5420332,5420440,0,0,140.30.20.8,152.148.48.4,140.30.20.2,370,370,22,50446,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,3,164,5420660,5420660,0,0,140.30.20.8,152.148.48.4,140.30.20.2,370,370,22,50472,6,0,22,0,0,0,0
1682369354,886049,5437060,140.30.20.1,3,186,5420660,5420660,0,0,152.148.48.4,140.30.20.8,0.0.0.0,370,370,50472,22,6,0,26,0,0,0,0
1682369354,886049,5437060,140.30.20.1,3,186,5420880,5420880,0,0,152.148.48.4,140.30.20.8,0.0.0.0,370,370,43468,22,6,0,26,0,0,0,0
1682369354,886049,5437060,140.30.20.1,3,164,5420880,5420880,0,0,140.30.20.8,152.148.48.4,140.30.20.2,370,370,22,43468,6,0,22,0,0,0,0
1682369354,886049,5437060,140.30.20.1,18,2310,5407180,5421392,0,0,152.148.48.6,140.30.20.7,0.0.0.0,370,370,48302,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,17,2258,5407180,5421416,0,0,152.148.48.6,140.30.20.7,0.0.0.0,370,370,48286,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,24,3225,5407180,5421396,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,48304,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,24,3225,5407180,5421392,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,48302,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,17,2258,5407180,5421408,0,0,152.148.48.6,140.30.20.7,0.0.0.0,370,370,48284,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,25,3277,5407180,5421416,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,48286,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,18,2310,5407180,5421396,0,0,152.148.48.6,140.30.20.7,0.0.0.0,370,370,48304,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,2,160,5406940,5421388,0,0,140.30.20.3,152.148.48.6,140.30.20.2,65535,370,0,1281,1,192,0,0,0,0,0
1682369354,886049,5437060,140.30.20.1,25,3277,5407180,5421408,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,48284,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,25,3277,5408560,5421976,0,0,140.30.20.8,152.148.48.4,140.30.20.2,370,370,22,58106,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,24,3225,5408548,5421964,0,0,140.30.20.8,152.148.48.4,140.30.20.2,370,370,22,58074,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,17,2258,5408536,5421964,0,0,152.148.48.5,140.30.20.6,0.0.0.0,370,370,57470,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,17,2258,5408560,5422000,0,0,152.148.48.4,140.30.20.8,0.0.0.0,370,370,58112,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,25,3277,5408572,5422020,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,48334,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,18,2310,5408536,5421992,0,0,152.148.48.5,140.30.20.6,0.0.0.0,370,370,57508,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,17,2258,5408580,5422012,0,0,152.148.48.5,140.30.20.7,0.0.0.0,370,370,38848,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,25,3277,5408572,5422044,0,0,140.30.20.7,152.148.48.6,140.30.20.2,370,370,22,48350,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,17,2258,5408548,5421984,0,0,152.148.48.4,140.30.20.8,0.0.0.0,370,370,58090,22,6,0,27,0,0,0,0
1682369354,886049,5437060,140.30.20.1,24,3225,5408536,5421996,0,0,140.30.20.6,152.148.48.5,140.30.20.2,370,370,22,57492,6,0,27,0,0,0,0
